id_transaksi,id_pelanggan,id_produk,nama_produk,kategori_produk,jumlah_pembelian,tanggal_transaksi
ORD_0006987,CUST_341,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,5,2025-01-01 00:05
ORD_0006988,CUST_016,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,2,2025-01-01 00:17
ORD_0006988,CUST_016,PRD_201,Gembok Anti Maling,Aksesoris Pintu,2,2025-01-01 00:17
ORD_0006989,CUST_333,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-01 00:34
ORD_0006990,CUST_455,PRD_203,Door Stopper Karet,Aksesoris Pintu,1,2025-01-01 00:37
ORD_0006991,CUST_351,PRD_102,Celengan Target Kaleng,Celengan,3,2025-01-01 00:46
ORD_0006993,CUST_130,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 01:50
ORD_0006995,CUST_305,PRD_602,Keranjang Belanja Lipat,Keranjang,1,2025-01-01 03:19
ORD_0006996,CUST_063,PRD_PIR,Piring Standar,Piring,5,2025-01-01 06:05
ORD_0006997,CUST_107,PRD_702,Bakul Nasi Bambu,Tempat Nasi,1,2025-01-01 06:34
ORD_0006998,CUST_390,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-01 06:58
ORD_0006999,CUST_444,PRD_BOT,Botol / Gelas / Mug Standar,Botol / Gelas / Mug,1,2025-01-01 07:08
ORD_0007000,CUST_073,PRD_101,Celengan Ayam Jago,Celengan,2,2025-01-01 07:48
ORD_0007001,CUST_457,PRD_601,Keranjang Baju Kotor,Keranjang,2,2025-01-01 08:08
ORD_0007001,CUST_457,PRD_602,Keranjang Belanja Lipat,Keranjang,1,2025-01-01 08:08
ORD_0007002,CUST_404,PRD_PER,Perlengkapan Packing Standar,Perlengkapan Packing,2,2025-01-01 08:22
ORD_0007003,CUST_488,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-01 08:34
ORD_0007005,CUST_177,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 09:39
ORD_0007006,CUST_197,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,2,2025-01-01 09:55
ORD_0007007,CUST_291,PRD_PIR,Piring Standar,Piring,6,2025-01-01 10:54
ORD_0007008,CUST_135,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 11:03
ORD_0007009,CUST_125,PRD_101,Celengan Ayam Jago,Celengan,1,2025-01-01 11:21
ORD_0007010,CUST_468,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 11:36
ORD_0007011,CUST_101,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-01 12:15
ORD_0007011,CUST_101,PRD_201,Gembok Anti Maling,Aksesoris Pintu,1,2025-01-01 12:15
ORD_0007012,CUST_118,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 12:28
ORD_0007013,CUST_486,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-01 12:38
ORD_0007013,CUST_486,PRD_302,Set Mangkok Sambal Plastik,Mangkok Sambal / Saus,1,2025-01-01 12:38
ORD_0007014,CUST_033,PRD_301,Mangkok Saus Keramik,Mangkok Sambal / Saus,1,2025-01-01 12:47
ORD_0007015,CUST_180,PRD_LUN,Lunch Box / Rantang Standar,Lunch Box / Rantang,1,2025-01-01 12:47
ORD_0007016,CUST_342,PRD_GAN,Gantungan Baju / Hanger Standar,Gantungan Baju / Hanger,1,2025-01-01 12:58
ORD_0007017,CUST_002,PRD_102,Celengan Target Kaleng,Celengan,2,2025-01-01 13:25
ORD_0007017,CUST_002,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,2,2025-01-01 13:25
ORD_0007018,CUST_275,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-01 13:25
ORD_0007019,CUST_027,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-01 13:50
ORD_0007020,CUST_235,PRD_SAR,Saringan / Strainer Standar,Saringan / Strainer,1,2025-01-01 13:50
ORD_0007021,CUST_261,PRD_401,Rak Sepatu 4 Susun,Rak / Rak Serbaguna,1,2025-01-01 14:05
ORD_0007022,CUST_472,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 14:25
ORD_0007023,CUST_442,PRD_GAY,Gayung Standar,Gayung,1,2025-01-01 14:39
ORD_0007024,CUST_157,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 14:52
ORD_0007025,CUST_374,PRD_202,Handle Pintu Minimalis,Aksesoris Pintu,1,2025-01-01 15:07
ORD_0007026,CUST_410,PRD_602,Keranjang Belanja Lipat,Keranjang,1,2025-01-01 15:20
ORD_0007027,CUST_024,PRD_PER,Peralatan Makan Standar,Peralatan Makan,1,2025-01-01 15:33
ORD_0007028,CUST_374,PRD_BAS,Baskom / Mangkok Besar Standar,Baskom / Mangkok Besar,1,2025-01-01 16:00
ORD_0007029,CUST_031,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 16:29
ORD_0007030,CUST_425,PRD_102,Celengan Target Kaleng,Celengan,1,2025-01-01 16:58
